droscher.com/BeerGargoyle,Unknown,LGPL-3.0
github.com/PuerkitoBio/goquery,https://github.com/PuerkitoBio/goquery/blob/v1.10.2/LICENSE,BSD-3-Clause
github.com/alecthomas/kong,https://github.com/alecthomas/kong/blob/v1.6.0/COPYING,MIT
github.com/andybalholm/cascadia,https://github.com/andybalholm/cascadia/blob/v1.3.3/LICENSE,BSD-2-Clause
github.com/antchfx/htmlquery,https://github.com/antchfx/htmlquery/blob/v1.3.4/LICENSE,MIT
github.com/antchfx/xmlquery,https://github.com/antchfx/xmlquery/blob/v1.4.4/LICENSE,MIT
github.com/antchfx/xpath,https://github.com/antchfx/xpath/blob/v1.3.3/LICENSE,MIT
github.com/bits-and-blooms/bitset,https://github.com/bits-and-blooms/bitset/blob/v1.22.0/LICENSE,BSD-3-Clause
github.com/bufbuild/connect-go,https://github.com/bufbuild/connect-go/blob/v1.10.0/LICENSE,Apache-2.0
github.com/bufbuild/connect-grpchealth-go,https://github.com/bufbuild/connect-grpchealth-go/blob/v1.1.1/LICENSE,Apache-2.0
github.com/bufbuild/connect-grpcreflect-go,https://github.com/bufbuild/connect-grpcreflect-go/blob/v1.1.0/LICENSE,Apache-2.0
github.com/gobwas/glob,https://github.com/gobwas/glob/blob/v0.2.3/LICENSE,MIT
github.com/gocolly/colly/v2,https://github.com/gocolly/colly/blob/v2.2.0/LICENSE.txt,Apache-2.0
github.com/golang-jwt/jwt/v4,https://github.com/golang-jwt/jwt/blob/v4.5.1/LICENSE,MIT
github.com/golang/groupcache/lru,https://github.com/golang/groupcache/blob/2c02b8208cf8/LICENSE,Apache-2.0
github.com/golang/protobuf/proto,https://github.com/golang/protobuf/blob/v1.5.4/LICENSE,BSD-3-Clause
github.com/google/uuid,https://github.com/google/uuid/blob/v1.6.0/LICENSE,BSD-3-Clause
github.com/jackc/pgpassfile,https://github.com/jackc/pgpassfile/blob/v1.0.0/LICENSE,MIT
github.com/jackc/pgservicefile,https://github.com/jackc/pgservicefile/blob/5a60cdf6a761/LICENSE,MIT
github.com/jackc/pgx/v5,https://github.com/jackc/pgx/blob/v5.7.1/LICENSE,MIT
github.com/jackc/puddle/v2,https://github.com/jackc/puddle/blob/v2.2.2/LICENSE,MIT
github.com/jinzhu/inflection,https://github.com/jinzhu/inflection/blob/v1.0.0/LICENSE,MIT
github.com/jinzhu/now,https://github.com/jinzhu/now/blob/v1.1.5/License,MIT
github.com/kennygrant/sanitize,https://github.com/kennygrant/sanitize/blob/v1.2.4/LICENSE,BSD-3-Clause
github.com/kkyr/fig,https://github.com/kkyr/fig/blob/v0.4.0/LICENSE,Apache-2.0
github.com/mitchellh/mapstructure,https://github.com/mitchellh/mapstructure/blob/v1.5.0/LICENSE,MIT
github.com/nlnwa/whatwg-url,https://github.com/nlnwa/whatwg-url/blob/v0.6.1/LICENSE,Apache-2.0
github.com/pelletier/go-toml/v2,https://github.com/pelletier/go-toml/blob/v2.2.3/LICENSE,MIT
github.com/rs/cors,https://github.com/rs/cors/blob/v1.11.1/LICENSE,MIT
github.com/saintfish/chardet,https://github.com/saintfish/chardet/blob/5e3ef4b5456d/LICENSE,MIT
github.com/temoto/robotstxt,https://github.com/temoto/robotstxt/blob/v1.1.2/LICENSE,MIT
go.openly.dev/pointy,https://github.com/openly-engineering/pointy.git/blob/v1.3.0/LICENSE,MIT
go.uber.org/multierr,https://github.com/uber-go/multierr/blob/v1.11.0/LICENSE.txt,MIT
go.uber.org/zap,https://github.com/uber-go/zap/blob/v1.27.0/LICENSE,MIT
golang.org/x/crypto/pbkdf2,https://cs.opensource.google/go/x/crypto/+/v0.36.0:LICENSE,BSD-3-Clause
golang.org/x/net,https://cs.opensource.google/go/x/net/+/v0.37.0:LICENSE,BSD-3-Clause
golang.org/x/sync/semaphore,https://cs.opensource.google/go/x/sync/+/v0.12.0:LICENSE,BSD-3-Clause
golang.org/x/sys/unix,https://cs.opensource.google/go/x/sys/+/v0.31.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.23.0:LICENSE,BSD-3-Clause
google.golang.org/appengine,https://github.com/golang/appengine/blob/v1.6.8/LICENSE,Apache-2.0
google.golang.org/genproto/googleapis/rpc/status,https://github.com/googleapis/go-genproto/blob/e6fa225c2576/googleapis/rpc/LICENSE,Apache-2.0
google.golang.org/grpc,https://github.com/grpc/grpc-go/blob/v1.69.0/LICENSE,Apache-2.0
google.golang.org/protobuf,https://github.com/protocolbuffers/protobuf-go/blob/v1.36.6/LICENSE,BSD-3-Clause
gopkg.in/yaml.v3,https://github.com/go-yaml/yaml/blob/v3.0.1/LICENSE,MIT
gorm.io/driver/postgres,https://github.com/go-gorm/postgres/blob/v1.5.11/License,MIT
gorm.io/gorm,https://github.com/go-gorm/gorm/blob/v1.25.12/LICENSE,MIT
moul.io/zapgorm2,https://github.com/moul/zapgorm2/blob/v1.3.0/LICENSE-APACHE,Apache-2.0
